qid,question,type,gold_chunk,pred_chunk,hit1,answer_text,notes,answer_correctness
q01,What happens if I don't meet Centre's on-campus residency requirement?,normal,chunk_31,chunk_31,1,"You must reside in college residences and take meals in campus dining facilities. If you do not meet this requirement, exceptions may be granted based on specific circumstances outlined in the handbook sections provided.",Residency requirement,1
q02,How does the college decide who my first-year roommate will be?,normal,chunk_19,chunk_19,1,"The college decides your first-year roommate through an application process where incoming students share their preferences and how they want a roommate to present. If you identify an intended roommate, we permit this to occur. The center requires that the match be mutual, so one individual creates a roommate group in the housing portal and the other individual must accept it for the two to be paired together.",Housing and housing assignments,1
q03,"When I sign the housing contract each fall, what exactly am I agreeing to?",normal,chunk_22,chunk_22,1,"Each residential student is expected to sign a copy of this contract annually as an indication of understanding of and commitment to policies and regulations of on-campus housing. This occurs when applying for Fall Term housing. The contract entitles the student to use their assigned accommodations only as set forth in this contract and in accordance with regulations published elsewhere in the Student Handbook under, among possibly other sections, Housing and Housing Assignments and under Student Life Standards and Policies. These policies apply to all college housing, whether a standard double, suite, Greek housing, or campus owned houses and townhouses.",Housing contract basics,1
q04,"When are quiet hours in the residence halls, especially during exams?",normal,chunk_29,chunk_29,1,"Quiet hours for all residences, student rooms, and corridors (including fraternity and sorority houses) are:

- Sunday-Thursday: 10:00 pm - 10:00 am
- Friday-Saturday: 11:00 pm - 10:00 am",Quiet hours and exam periods,1
q05,What are the main rules for having guests visit me in my residence hall room?,normal,chunk_90,chunk_90,1,The main rule is that all residents must assume responsibility for observing visitation guidelines. This ensures privacy and respect within the community.,Visitation policy,0.5
q06,"If I'm found drunk on campus, what kinds of consequences or sanctions would I face?",normal,chunk_10,chunk_10,1,"Students who are clearly in a state of intoxication, or who represent a possible threat to their own health and safety or to that of others, or who appear prone to disorderly conduct, are subject to sanctions through the College's judicial system. In cases of disorderly conduct or vandalism connected with the abuse of alcohol, the fact that the offender had been drinking will not be treated as a mitigating circumstance in meting out sanctions.",Alcohol and intoxication sanctions,1
q07,"If I call DPS or 911 because a friend needs medical help, will I still get in trouble?",normal,chunk_14,chunk_14,1,"No, you will not get in trouble. According to the Good Samaritan Policy, calling DPS, 911, or the Student Life Office to assist another student needing emergency and/or medical attention is protected behavior. You are not cited for any offense under the alcohol or drug policies when doing so.",Good Samaritan medical amnesty,1
q08,How does Centre define hazing and what kinds of actions would count as hazing in a student organization?,normal,chunk_16,chunk_16,1,"Centre defines hazing as any act or behavior that subjects a person, voluntarily or involuntarily, to abuse, mistreatment, degradation, humiliation, harassment, embarrassment, or intimidation, or which may compromise their inherent human dignity. This includes physical, emotional, and psychological actions that violate the personal dignity of students, faculty, and staff members at Centre College.",Hazing definition,1
q09,What kinds of academic or housing accommodations can Accessibility Services help me arrange?,normal,chunk_17,chunk_17,1,"Accessibility Services at Centre College can help you arrange various academic and housing accommodations. For academic needs, students with physical disabilities may need assistance with course material modifications, classroom assignments, and other reasonable accommodations. Students with learning disabilities might require tutoring or specific teaching methods tailored to their needs.

For housing accommodations, students with mobility issues could benefit from adjustments in living arrangements such as accessible dorms or modified room configurations. Visual impairments might necessitate the use of assistive technology for navigation around campus buildings. Hearing and learning disabilities may also need specialized support during lectures or group discussions.

To arrange these services, you should first register your documentation of a physical or learning disability with Accessibility Services. Then, submit an Accessibility Request Form to start the process. This form will guide you through the necessary steps to ensure that all required accommodations are in place for your academic and living needs at Centre College.",Accessibility accommodations,1
q10,Who can utilize the storage facilities in residential halls?,normal,chunk_37,chunk_37,1,Long distance out-of-state students and international students only.,Storage,1
